,Fossil fuel and cement production emissions by fuel type,,,,,,,
,"All values in million tonnes of carbon per year (MtC/yr), except the per capita emissions which are in tonnes of carbon per person per year (tC/person/yr). For values in million tonnes of CO2 per year, multiply the values below by 3.664",,,,,,,
,1MtC = 1 million tonne of carbon = 3.664 million tonnes of CO2,,,,,,,
,Methods: Full details of the method are described in Friedlingstein et al (2022b) and Andrew and Peters (2021). Full country and fuel data can be found at https://zenodo.org/record/7215364#.Y1JIIHbRZmM,,,,,,,
,The uncertainty for the global estimates is about ±5 % for a ± 1 sigma confidence level. ,,,,,,,
,Cite as: Friedlingstein et al (2022b; see summary tab),,,,,,,
,,,,,,,,
MtC/yr,,,,,,,,
Year,fossil.emissions.excluding.carbonation,Coal,Oil,Gas,Cement.emission,Flaring,Other,Per.Capita
1850,53.74,53.74,0.00,0.00,0.00,0.00,0.00,0.04
1851,54.26,54.26,0.00,0.00,0.00,0.00,0.00,0.04
1852,56.65,56.65,0.00,0.00,0.00,0.00,0.00,0.04
1853,59.28,59.28,0.00,0.00,0.00,0.00,0.00,0.05
1854,69.63,69.63,0.00,0.00,0.00,0.00,0.00,0.05
1855,71.01,71.00,0.01,0.00,0.00,0.00,0.00,0.05
1856,75.68,75.67,0.01,0.00,0.00,0.00,0.00,0.06
1857,76.39,76.38,0.01,0.00,0.00,0.00,0.00,0.06
1858,77.56,77.54,0.02,0.00,0.00,0.00,0.00,0.06
1859,82.24,82.22,0.01,0.00,0.00,0.00,0.00,0.06
1860,90.24,90.17,0.07,0.00,0.00,0.00,0.00,0.07
1861,94.91,94.65,0.26,0.00,0.00,0.00,0.00,0.07
1862,96.63,96.25,0.38,0.00,0.00,0.00,0.00,0.07
1863,103.13,102.77,0.35,0.00,0.00,0.00,0.00,0.08
1864,111.11,110.80,0.30,0.00,0.00,0.00,0.00,0.08
1865,117.99,117.63,0.36,0.00,0.00,0.00,0.00,0.09
1866,121.72,121.18,0.53,0.00,0.00,0.00,0.00,0.09
1867,130.41,129.87,0.54,0.00,0.00,0.00,0.00,0.09
1868,133.94,133.31,0.62,0.00,0.00,0.00,0.00,0.10
