License,CC BY-NC-ND 4.0 Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License,,,
Source,Global CCS Institute 2019. The Global Status of CCS: 2019. Australia.,,,
Link,https://www.globalccsinstitute.com/resources/global-status-report/download/,,,
Name,Country,Year ,Capacity Mt,Destination
Gorgon,Australia,2019,4,Storage
Jilin Oil Field,China,2018,0.6,EOR
Illinois Industrial CCS,USA,2017,1,Storage
Petra Nova USA,USA,2017,1.4,EOR
Abu Dhabi CCS/Emirates Steel,UAE,2016,0.8,EOR
Quest,Canada,2015,1,Storage
Uthmaniyah,Saudi-Arabia,2015,0.8,EOR
Boundary Dam CCS,Canada,2014,1,EOR
Petrobras Santos Basin,Brazil,2013,3,EOR
Coffeyville,USA,2013,1,EOR
Air Products Steam Methane Reformer,USA,2013,1,EOR
Lost Cabin,USA,2013,0.9,EOR
Century Plant,USA,2010,8.4,EOR
Snohvit Norway,Norway,2008,0.7,Storage
Great Plains Synfuels,USA,2000,3,EOR
Sleipner,Norway,1996,1,Storage
Shute Creek,USA,1986,7,EOR
Enid Fertiliser,USA,1982,0.7,EOR
Terrell Val Verde,USA,1972,0.5,EOR
