Units   TWh
Year	Demand	Net imports	Production	Fossil	Coal	Gas & oil	Gas	Other fossil	Nuclear	Renewables	Wind and solar	Wind	Solar	Hydro, bioenergy & other renewables	Hydro	Bioenergy	Other renewables
2000	14774	-4	14778	9418	5575	3842	2662	1180	2497	2863	33	31	1	2831	2611	148	72
2001	15026	-9	15035	9660	5681	3979	2815	1164	2566	2809	40	38	1	2769	2551	146	72
2002	15554	-3	15557	10087	5919	4168	3015	1154	2594	2875	54	53	2	2821	2588	160	73
2003	16084	-5	16089	10606	6293	4313	3142	1171	2568	2915	67	65	2	2848	2603	170	75
2004	16859	-3	16862	11076	6531	4545	3383	1163	2668	3118	88	85	3	3030	2770	183	77
2005	17506	-3	17509	11560	6829	4731	3548	1183	2677	3272	109	105	4	3164	2883	202	78
2006	18252	0	18252	12122	7242	4880	3761	1120	2715	3415	138	133	5	3277	2982	215	80
2007	19145	2	19144	12958	7734	5224	4067	1157	2661	3525	178	171	7	3347	3034	230	83
2008	19441	-1	19442	13065	7743	5322	4193	1129	2650	3727	231	219	11	3496	3157	256	83
2009	19381	4	19377	12925	7647	5278	4209	1069	2612	3839	297	278	19	3542	3187	268	87
2010	20783	3	20781	13930	8240	5690	4634	1056	2681	4169	377	346	31	3792	3386	316	90
2011	21509	7	21502	14545	8660	5885	4713	1172	2571	4385	501	441	60	3885	3454	340	90
2012	21954	7	21947	14822	8632	6190	4964	1227	2398	4726	627	532	96	4099	3632	376	91
2013	22550	10	22540	15099	9029	6069	4858	1211	2414	5027	776	643	132	4252	3748	410	94
2014	22963	11	22952	15182	9029	6154	4987	1167	2463	5307	918	721	197	4389	3850	442	98
2015	23332	18	23314	15311	8805	6506	5317	1190	2496	5506	1083	829	255	4423	3864	459	100
2016	23930	5	23925	15497	8778	6719	5516	1203	2528	5900	1289	959	330	4612	4020	491	102
2017	24577	6	24570	15750	9009	6741	5620	1121	2544	6276	1578	1135	443	4698	4075	517	105
2018	25575	15	25560	16233	9345	6888	5743	1144	2614	6712	1839	1266	573	4873	4209	557	107
2019	25882	-17	25900	16114	9082	7032	5943	1089	2721	7065	2121	1417	704	4944	4261	573	110
2020	25860	-49	25850	15757	8736	7021	5892	1128	2617	7493	2435	1590	844	5058	4355	586	117
