Year;Length change (m);Cumulative length change (m)
1903;0;Start
1909;100;100
1910;10;110
1911;-13;97
1912;-2;95
1913;7;102
1914;-9;93
1915;-3;90
1916;5;95
1917;0;95
1918;-8;87
1919;-15;72
1920;8;80
1921;4;84
1922;10;94
1923;-30;64
1924;27;91
1925;-10;81
1926;-13;68
1927;-8;60
1928;29;89
1929;-22;67
1930;15;82
1931;-35;47
1934;-612;-565
1935;101;-464
1936;-5;-469
1937;-271;-740
1938;-37;-777
1939;-481;-1258
1940;-172;-1430
1941;-40;-1470
1942;-65;-1535
1951;-400;-1935
1952;22;-1913
1953;0;-1913
1965;-180;-2093
1966;5;-2088
1967;10;-2078
1968;22;-2056
1969;8;-2048
1970;34;-2014
1971;28;-1986
1972;-31;-2017
1973;-12;-2029
1974;-4;-2033
1975;0;-2033
1976;7;-2026
1977;31;-1995
1978;25;-1970
1979;20;-1950
1980;2;-1948
1981;-1;-1949
1982;-18;-1967
1983;19;-1948
1984;4;-1944
1985;-11;-1955
1986;-23;-1978
1987;-8;-1986
1988;-51;-2037
1990;-43;-2080
1991;-24;-2104
1993;21;-2083
1995;111;-1972
1996;35;-1937
1997;-3;-1940
1998;33;-1907
1999;0;-1907
2000;-10;-1917
2001;-25;-1942
2002;-6;-1948
2003;-60;-2008
2004;-22;-2030
2005;-56;-2086
2006;-15;-2101
2007;-34;-2135
2008;-29;-2164
2009;-8;-2172
2010;-11;-2183
2011;-20;-2203
2012;-2;-2205
2013;-20;-2225
2014;-56;-2281
2015;-6;-2287
2016;-8;-2295
2017;-8;-2303
2018;-140;-2443
2019;-61;-2504
