Year;Length change (m);Cumulative length change (m)
1899;0;Start
1903;-49;-49
1907;-33;-82
1908;11;-71
1909;11;-60
1910;3;-57
1911;-8;-65
1912;-4;-69
1913;-14;-83
1914;-10;-93
1915;-5;-98
1916;-11;-109
1917;-17;-126
1918;-10;-136
1919;11;-125
1920;-10;-135
1921;-16;-151
1922;-5;-156
1923;81;-75
1924;-13;-88
1925;14;-74
1926;-6;-80
1927;9;-71
1928;3;-68
1929;3;-65
1930;9;-56
1931;-2;-58
1932;-2;-60
1933;-9;-69
1934;-9;-78
1935;-3;-81
1936;-8;-89
1937;-25;-114
1938;-19;-133
1939;-29;-162
1940;-33;-195
1941;-33;-228
1942;-17;-245
1943;-53;-298
1944;8;-290
1945;-59;-349
1946;-26;-375
1947;-42;-417
1948;-64;-481
1949;-50;-531
1950;-44;-575
1951;-27;-602
1952;-33;-635
1953;-47;-682
1954;-40;-722
1955;-62;-784
1956;-34;-818
1957;-37;-855
1958;-60;-915
1959;-46;-961
1960;-64;-1025
1961;-62;-1087
1962;-28;-1115
1963;-43;-1158
1964;-60;-1218
1965;-103;-1321
1966;-138;-1459
1967;-101;-1560
1968;-137;-1697
1969;-135;-1832
1970;-121;-1953
1971;-73;-2026
1972;-66;-2092
1973;-30;-2122
1974;-22;-2144
1975;-11;-2155
1976;-30;-2185
1977;-28;-2213
1978;-27;-2240
1979;-20;-2260
1980;-23;-2283
1981;-24;-2307
1982;-15;-2322
1983;-9;-2331
1984;-15;-2346
1985;-22;-2368
1986;-27;-2395
1987;-7;-2402
1988;-38;-2440
1989;-25;-2465
1990;-19;-2484
1991;-18;-2502
1992;-6;-2508
1993;10;-2498
1994;34;-2464
1995;44;-2420
1996;14;-2406
1997;12;-2394
1998;23;-2371
1999;28;-2343
2000;25;-2318
2001;-20;-2338
2002;-27;-2365
2003;-16;-2381
2004;-1;-2382
2005;18;-2364
2006;-46;-2410
2007;-13;-2423
2008;-62;-2485
2009;-57;-2542
2010;-16;-2558
2011;-21;-2579
2012;-5;-2584
2013;-11;-2595
2014;-68;-2663
2015;1;-2662
2016;-11;-2673
2017;-27;-2700
2018;1;-2699
2019;-5;-2704
