Year;Length change (m);Cumulative length change (m)
1900;0;Start
1903;-73;-73
1907;8;-65
1908;-10;-75
1909;18;-57
1910;-31;-88
1911;5;-83
1912;-40;-123
1913;-11;-134
1914;-13;-147
1915;-25;-172
1916;-20;-192
1917;-19;-211
1918;-16;-227
1919;-21;-248
1920;-14;-262
1921;-16;-278
1922;7;-271
1923;-23;-294
1924;-13;-307
1925;10;-297
1926;16;-281
1927;-16;-297
1928;12;-285
1929;20;-265
1930;6;-259
1931;-9;-268
1932;-15;-283
1933;-15;-298
1934;-45;-343
1935;-25;-368
1936;5;-363
1937;-17;-380
1938;-21;-401
1939;-50;-451
1940;-28;-479
1941;-41;-520
1942;-19;-539
1943;-38;-577
1944;-10;-587
1945;-43;-630
1946;-35;-665
1947;-113;-778
1948;-145;-923
1949;-92;-1015
1950;-47;-1062
1951;-56;-1118
1952;-87;-1205
1953;-67;-1272
1954;-41;-1313
1955;-72;-1385
1956;-53;-1438
1957;-35;-1473
1958;-49;-1522
1959;-66;-1588
1960;-87;-1675
1961;-55;-1730
1962;-30;-1760
1963;-65;-1825
1964;-55;-1880
1965;-54;-1934
1966;-181;-2115
1972;-334;-2449
1973;-65;-2514
1974;-46;-2560
1975;-16;-2576
1976;-1;-2577
1977;-7;-2584
1978;-14;-2598
1979;3;-2595
1980;1;-2594
1981;-11;-2605
1982;4;-2601
1983;-5;-2606
1984;0;-2606
1985;-2;-2608
1986;-3;-2611
1987;-1;-2612
1988;-9;-2621
1989;1;-2620
1990;7;-2613
1991;10;-2603
1992;21;-2582
1993;14;-2568
1994;36;-2532
1995;46;-2486
1996;40;-2446
1997;19;-2427
1998;23;-2404
1999;17;-2387
2000;25;-2362
2001;-4;-2366
2002;-1;-2367
2003;24;-2343
2004;-25;-2368
2005;-8;-2376
2006;-32;-2408
2007;-4;-2412
2008;-1;-2413
2009;-24;-2437
2010;-39;-2476
2011;-28;-2504
2012;-27;-2531
2013;-33;-2564
2014;-52;-2616
2015;-39;-2655
2016;-70;-2725
2017;-54;-2779
2018;-81;-2860
2019;-81;-2941
