Year;Length change (m);Cumulative length change (m)
1900;0;Start
1901;-12;-12
1902;-3;-15
1903;-3;-18
1904;-8;-26
1905;16;-10
1906;15;5
1907;5;10
1908;20;30
1909;8;38
1910;8;46
1911;-1;45
1912;-6;39
1913;-15;24
1914;-26;-2
1915;-35;-37
1916;-10;-47
1917;-2;-49
1918;-12;-61
1919;-12;-73
1920;-7;-80
1921;-33;-113
1922;0;-113
1923;8;-105
1924;34;-71
1925;12;-59
1926;3;-56
1927;1;-55
1928;2;-53
1929;11;-42
1930;-11;-53
1931;2;-51
1932;-3;-54
1933;-9;-63
1934;-11;-74
1935;-25;-99
1936;-39;-138
1937;-28;-166
1938;-34;-200
1939;-43;-243
1940;-48;-291
1941;-41;-332
1942;-39;-371
1943;-45;-416
1944;-37;-453
1945;-37;-490
1946;-60;-550
1947;-62;-612
1948;-80;-692
1949;-48;-740
1950;-78;-818
1951;-37;-855
1952;10;-845
1953;5;-840
1954;-14;-854
1955;-9;-863
1956;5;-858
1957;8;-850
1958;18;-832
1959;10;-822
1960;8;-814
1961;4;-810
1962;-19;-829
1963;-11;-840
1964;-6;-846
1965;2;-844
1966;2;-842
1967;12;-830
1968;11;-819
1969;4;-815
1970;-11;-826
1971;-7;-833
1972;-7;-840
1973;-20;-860
1974;13;-847
1975;54;-793
1976;40;-753
1977;30;-723
1978;4;-719
1979;34;-685
1980;24;-661
1981;-9;-670
1982;-7;-677
1983;6;-671
1984;-9;-680
1985;-7;-687
1986;-6;-693
1987;-6;-699
1988;29;-670
1989;1;-669
1990;24;-645
1991;8;-637
1992;28;-609
1993;59;-550
1994;61;-489
1995;50;-439
1996;44;-395
1997;-2;-397
1998;-3;-400
1999;-2;-402
2000;-37;-439
2001;1;-438
2002;-16;-454
2003;-48;-502
2004;-120;-622
2005;-50;-672
2006;-145;-817
2007;-30;-847
2008;-12;-859
2009;-22;-881
2010;8;-873
2011;-275;-1148
2012;-50;-1198
2013;-5;-1203
2014;0;-1203
2015;0;-1203
