Year;Length change (m);Cumulative length change (m)
1903;0;Start
1907;9;9
1908;11;20
1909;14;34
1910;3;37
1911;-3;34
1912;-12;22
1913;-9;13
1914;-10;3
1915;-5;-2
1916;-9;-11
1917;-15;-26
1918;9;-17
1919;-9;-26
1920;-11;-37
1921;-14;-51
1922;-5;-56
1923;15;-41
1924;-12;-53
1925;34;-19
1926;6;-13
1927;-9;-22
1928;3;-19
1929;-7;-26
1930;-7;-33
1931;10;-23
1932;12;-11
1933;-8;-19
1934;-10;-29
1935;-5;-34
1936;-4;-38
1937;-9;-47
1938;-1;-48
1939;-39;-87
1940;-12;-99
1941;-30;-129
1942;-30;-159
1943;-29;-188
1944;-16;-204
1945;-16;-220
1946;-34;-254
1947;-16;-270
1948;-18;-288
1949;-28;-316
1950;-30;-346
1951;-19;-365
1952;-15;-380
1953;-29;-409
1954;-18;-427
1955;-20;-447
1956;-19;-466
1957;-16;-482
1958;-22;-504
1959;-33;-537
1960;-39;-576
1961;-11;-587
1962;-23;-610
1963;-33;-643
1964;-27;-670
1965;-44;-714
1966;-46;-760
1967;-24;-784
1968;-38;-822
1969;-34;-856
1970;-34;-890
1971;-22;-912
1972;-17;-929
1973;-26;-955
1974;12;-943
1975;1;-942
1976;-12;-954
1977;-12;-966
1978;-9;-975
1979;-6;-981
1980;-7;-988
1981;-10;-998
1982;-5;-1003
1983;-10;-1013
1984;-11;-1024
1985;3;-1021
1986;0;-1021
1987;0;-1021
1988;-8;-1029
1989;-7;-1036
1990;-9;-1045
1991;-7;-1052
1992;-5;-1057
1993;-3;-1060
1994;-10;-1070
1995;-5;-1075
1996;-3;-1078
1997;8;-1070
1998;9;-1061
1999;6;-1055
2000;8;-1047
2001;-15;-1062
2002;-2;-1064
2003;-21;-1085
2004;-19;-1104
2005;-3;-1107
2006;5;-1102
2007;-39;-1141
2008;-30;-1171
2009;1;-1170
2010;-6;-1176
2011;-19;-1195
2012;-3;-1198
2013;-36;-1234
2014;-2;-1236
2015;-8;-1244
2016;-10;-1254
2017;-17;-1271
2018;2;-1269
2019;-18;-1287
