Year;Length change (m);Cumulative length change (m)
1902;0;Start
1904;-27;-27
1905;-7;-34
1906;-22;-56
1907;9;-47
1909;-17;-64
1910;12;-52
1911;-35;-87
1912;-10;-97
1919;-59;-156
1933;-66;-222
1934;-23;-245
1935;-15;-260
1936;-42;-302
1937;-26;-328
1938;-44;-372
1939;-23;-395
1941;-43;-438
1942;-5;-443
1943;-1;-444
1944;-14;-458
1945;-18;-476
1946;-43;-519
1947;-25;-544
1948;-60;-604
1949;-13;-617
1950;-36;-653
1951;-16;-669
1952;-9;-678
1953;-20;-698
1954;-18;-716
1955;-13;-729
1956;-15;-744
1957;-20;-764
1959;-40;-804
1960;-20;-824
1961;-25;-849
1962;-5;-854
1963;-20;-874
1964;-11;-885
1965;-8;-893
1966;-6;-899
1967;-5;-904
1968;-8;-912
1969;-14;-926
1970;-18;-944
1971;-14;-958
1972;-10;-968
1973;-5;-973
1974;-5;-978
1975;-7;-985
1976;-10;-995
1977;-8;-1003
1979;-6;-1009
1980;-10;-1019
1984;-10;-1029
1985;-5;-1034
1987;-2;-1036
1988;-13;-1049
1989;10;-1039
1990;3;-1036
1994;-1;-1037
1995;0;-1037
1996;-7;-1044
1997;3;-1041
1998;-7;-1048
1999;1;-1047
2001;-12;-1059
2003;-20;-1079
2004;-5;-1084
2006;-16;-1100
2007;-1;-1101
2008;-7;-1108
2009;-5;-1113
2010;-14;-1127
2011;-5;-1132
2013;-17;-1149
2014;-13;-1162
2016;-12;-1174
2017;-6;-1180
2018;-28;-1208
2019;-4;-1212
