Year;Length change (m);Cumulative length change (m)
1901;0;Start
1903;5;5
1904;-3;2
1905;4;6
1906;-12;-6
1907;3;-3
1908;-8;-11
1909;-9;-20
1910;0;-20
1911;-14;-34
1921;-5;-39
1922;1;-38
1923;1;-37
1924;3;-34
1925;-2;-36
1933;-25;-61
1934;-10;-71
1935;-4;-75
1936;-4;-79
1937;-12;-91
1938;-5;-96
1939;-21;-117
1940;-13;-130
1941;-7;-137
1942;-2;-139
1943;-5;-144
1944;-9;-153
1945;-3;-156
1946;-9;-165
1947;-13;-178
1948;-9;-187
1949;-12;-199
1950;-7;-206
1951;-9;-215
1952;-7;-222
1953;-7;-229
1954;-14;-243
1955;-6;-249
1956;-6;-255
1957;-5;-260
1958;-7;-267
1959;-16;-283
1960;-12;-295
1961;-10;-305
1962;-2;-307
1963;-11;-318
1964;-9;-327
1965;0;-327
1966;-9;-336
1967;-3;-339
1968;-1;-340
1969;-16;-356
1970;-9;-365
1971;-11;-376
1972;-4;-380
1973;-1;-381
1974;5;-376
1975;-3;-379
1976;0;-379
1977;2;-377
1978;-3;-380
1979;-3;-383
1980;-5;-388
1981;-5;-393
1982;-7;-400
1983;2;-398
1984;-2;-400
1985;-5;-405
1986;-12;-417
1987;1;-416
1988;-10;-426
1989;2;-424
1992;-32;-456
1993;0;-456
1994;4;-452
1995;2;-450
1996;9;-441
1997;-17;-458
1998;8;-450
1999;3;-447
2000;-2;-449
2001;3;-446
2002;-24;-470
2003;-1;-471
2004;-7;-478
2005;-7;-485
2006;-8;-493
2007;-19;-512
2008;9;-503
2010;-27;-530
2011;-25;-555
2012;11;-544
2013;-19;-563
2014;-15;-578
2015;5;-573
2016;-6;-579
2017;2;-577
2018;-15;-592
2019;-22;-614
