Year;Length change (m);Cumulative length change (m)
1901;0;Start
1902;0;0
1903;-13;-13
1904;-14;-27
1905;0;-27
1906;-9;-36
1907;5;-31
1908;0;-31
1909;-4;-35
1910;-4;-39
1911;-6;-45
1912;-25;-70
1929;-87;-157
1931;-13;-170
1932;-7;-177
1933;-12;-189
1934;-8;-197
1935;-11;-208
1936;-5;-213
1937;-8;-221
1938;-11;-232
1939;-12;-244
1940;-7;-251
1941;-11;-262
1942;-12;-274
1943;-5;-279
1944;-27;-306
1947;-43;-349
1948;-20;-369
1949;-10;-379
1950;-19;-398
1951;-11;-409
1952;-15;-424
1953;-13;-437
1954;-14;-451
1955;-11;-462
1956;-18;-480
1957;-13;-493
1958;-4;-497
1959;-39;-536
1961;-14;-550
1962;-10;-560
1963;-12;-572
1964;-6;-578
1971;-90;-668
1975;-61;-729
1976;-31;-760
1983;-95;-855
1986;-49;-904
1987;-10;-914
1988;-18;-932
1989;-7;-939
1990;-8;-947
1991;-7;-954
1992;-9;-963
1993;-3;-966
1994;-9;-975
1995;-6;-981
1996;-3;-984
1997;2;-982
1998;-9;-991
1999;-7;-998
2001;-4;-1002
2002;-17;-1019
2003;-10;-1029
2004;-5;-1034
2005;-4;-1038
2006;-15;-1053
2007;-10;-1063
2008;0;-1063
2009;-10;-1073
2010;-5;-1078
2011;-21;-1099
2012;-13;-1112
2013;-10;-1122
2014;-13;-1135
2015;-3;-1138
2016;-14;-1152
2017;-10;-1162
2018;-16;-1178
2019;-12;-1190
