Year;Length change (m);Cumulative length change (m)
1917;0;Start
1918;-30;-30
1919;-22;-52
1920;6;-46
1921;9;-37
1935;-3;-40
1936;-14;-54
1937;-33;-87
1938;-8;-95
1939;-7;-102
1941;-166;-268
1949;-414;-682
1961;-260;-942
1970;-145;-1087
1971;-10;-1097
1977;-105;-1202
1978;-8;-1210
1979;40;-1170
1980;2;-1168
1981;-2;-1170
1982;-2;-1172
1983;-50;-1222
1995;160;-1062
1998;24;-1038
1999;-19;-1057
2000;21;-1036
2001;-46;-1082
2002;-16;-1098
2003;-54;-1152
2004;-30;-1182
2005;-60;-1242
2006;-34;-1276
2007;-22;-1298
2008;-35;-1333
2009;-10;-1343
2010;-14;-1357
2011;-6;-1363
2012;0;-1363
2013;-5;-1368
2014;-13;-1381
2015;0;-1381
2016;-5;-1386
2017;-2;-1388
2018;-19;-1407
2019;-27;-1434
