Year;Length change (m);Cumulative length change (m)
1900;0;Start
1904;-150;-150
1905;-3;-153
1907;37;-116
1908;21;-95
1909;7;-88
1910;30;-58
1911;-10;-68
1912;-18;-86
1915;-57;-143
1917;0;-143
1918;-6;-149
1919;-1;-150
1920;-12;-162
1921;-1;-163
1922;8;-155
1923;18;-137
1924;43;-94
1925;40;-54
1926;33;-21
1927;20;-1
1928;20;19
1929;23;42
1930;12;54
1931;10;64
1932;7;71
1933;4;75
1934;-30;45
1935;-34;11
1936;-31;-20
1937;-129;-149
1938;-45;-194
1939;-62;-256
1940;-43;-299
1953;-460;-759
1959;-240;-999
1962;-20;-1019
1970;0;-1019
1971;-2;-1021
1972;0;-1021
1973;0;-1021
1974;0;-1021
1976;2;-1019
1977;2;-1017
1978;2;-1015
1981;2;-1013
1982;2;-1011
1983;0;-1011
1988;0;-1011
1995;160;-851
1996;19;-832
1997;9;-823
1998;5;-818
1999;-27;-845
2000;-1;-846
2001;-6;-852
2002;-2;-854
2003;-38;-892
2004;-90;-982
2005;27;-955
2006;-9;-964
2007;-79;-1043
2008;3;-1040
2009;-5;-1045
2010;-28;-1073
2011;-26;-1099
2012;-4;-1103
2013;0;-1103
2015;-20;-1123
2016;-31;-1154
2017;0;-1154
2018;-20;-1174
2019;-15;-1189
