Year;Length change (m);Cumulative length change (m)
1902;0;Start
1904;5;5
1905;17;22
1906;27;49
1907;10;59
1908;23;82
1909;13;95
1910;29;124
1911;7;131
1912;-5;126
1913;-26;100
1914;-8;92
1915;-20;72
1916;-6;66
1917;-6;60
1918;-12;48
1919;-4;44
1920;-16;28
1921;-16;12
1922;14;26
1923;8;34
1924;39;73
1925;14;87
1926;7;94
1927;3;97
1928;-6;91
1929;3;94
1930;15;109
1931;-11;98
1932;-12;86
1933;11;97
1934;-15;82
1935;-43;39
1936;-26;13
1937;-28;-15
1938;-44;-59
1939;-54;-113
1940;-233;-346
1941;-33;-379
1942;-32;-411
1951;-87;-498
1953;6;-492
1955;-13;-505
1956;0;-505
1958;14;-491
1959;-16;-507
1960;0;-507
1961;3;-504
1962;-8;-512
1964;-6;-518
1965;0;-518
1966;5;-513
1967;-1;-514
1968;-1;-515
1969;-3;-518
1971;-16;-534
1972;-7;-541
1973;-6;-547
1974;3;-544
1976;5;-539
1977;7;-532
1979;10;-522
1980;3;-519
1981;2;-517
1982;3;-514
1983;0;-514
1996;198;-316
1997;-43;-359
1998;14;-345
1999;-1;-346
2000;-24;-370
2001;-9;-379
2002;-15;-394
2003;-21;-415
2004;-37;-452
2005;-4;-456
2006;-48;-504
2007;-49;-553
2008;-50;-603
2009;-10;-613
2010;-28;-641
2011;-5;-646
2013;-25;-671
2014;-2;-673
2015;-14;-687
2016;2;-685
2017;-27;-712
2018;5;-707
2019;-31;-738
