Year;Length change (m);Cumulative length change (m)
1899;0;Start
1903;-81;-81
1904;-13;-94
1906;84;-10
1907;13;3
1908;36;39
1909;5;44
1910;-6;38
1911;2;40
1912;-4;36
1913;-12;24
1914;-40;-16
1915;-57;-73
1916;-7;-80
1917;-3;-83
1918;0;-83
1919;-10;-93
1920;-11;-104
1921;-37;-141
1922;30;-111
1923;15;-96
1924;15;-81
1925;45;-36
1926;13;-23
1927;13;-10
1928;8;-2
1929;3;1
1930;17;18
1931;5;23
1932;-11;12
1933;-10;2
1934;-10;-8
1935;-18;-26
1936;-35;-61
1937;-45;-106
1938;-50;-156
1939;-30;-186
1940;-50;-236
1941;-90;-326
1942;-15;-341
1943;-115;-456
1944;-10;-466
1945;-30;-496
1946;-20;-516
1949;-20;-536
1950;-30;-566
1951;-10;-576
1952;-5;-581
1953;10;-571
1954;-12;-583
1955;7;-576
1956;7;-569
1957;-5;-574
1958;10;-564
1959;0;-564
1966;-261;-825
2003;45;-780
2004;-8;-788
2005;-9;-797
2006;-38;-835
2007;-74;-909
2008;32;-877
2009;-29;-906
2010;-32;-938
2011;30;-908
2012;26;-882
2013;5;-877
2014;-65;-942
