Year;Length change (m);Cumulative length change (m)
1899;0;Start
1903;-80;-80
1907;-71;-151
1908;-22;-173
1909;-27;-200
1910;-21;-221
1911;-14;-235
1912;-15;-250
1913;-22;-272
1914;-23;-295
1915;-21;-316
1916;-14;-330
1917;-19;-349
1918;4;-345
1919;-8;-353
1920;-15;-368
1921;-15;-383
1922;-21;-404
1923;-18;-422
1924;-18;-440
1925;-2;-442
1926;9;-433
1927;-33;-466
1928;16;-450
1929;7;-443
1930;-28;-471
1931;-21;-492
1932;4;-488
1933;-14;-502
1934;-32;-534
1935;-14;-548
1936;-23;-571
1937;-16;-587
1938;12;-575
1939;-52;-627
1940;-22;-649
1941;-22;-671
1942;-35;-706
1943;-24;-730
1944;-15;-745
1945;-29;-774
1946;-64;-838
1947;-34;-872
1948;-32;-904
1949;-51;-955
1950;-46;-1001
1951;-31;-1032
1952;-28;-1060
1953;-35;-1095
1954;-30;-1125
1955;-54;-1179
1956;-52;-1231
1957;-27;-1258
1958;-47;-1305
1959;-48;-1353
1960;-56;-1409
1961;-51;-1460
1962;-7;-1467
1963;-35;-1502
1964;-50;-1552
1965;-120;-1672
1966;-145;-1817
1967;-93;-1910
1968;-131;-2041
1969;-127;-2168
1970;-116;-2284
1993;-500;-2784
2005;-170;-2954
2010;-55;-3009
2015;-65;-3074
2017;-30;-3104
