Teknologi,LCOE (øre/kWh 2021),LCOE (øre/kWh 2030),Størrelse (MW),Investeringskostnader (kr/kW),Brukstid (fullasttimer/år),Økonomisk levetid (år),Faste drifts- og vedlikeholdskostnader (kr/kW/år),Variable drifts- og vedlikeholdskostnader (øre/kWh),Brensels-kostnader(øre/kWh),Degraderingsrate
Flytende havvind,116.59949371352883,67.62770635384672,1400,50693,4752,25,1523,0,0,0.10 %
Solkraft hustak,101.4073303593727,60.84439821562361,0.01,11500,900,30,58,0,0,0.20 %
Bunnfast havvind,69.02707192873243,51.08003322726199,1400,29737,4752,25,923,0,0,0.10 %
Kullkraft,68.72889754943452,70.10347550042322,740,18224,8000,25,362,1.3,44.85870744545206,0.10 %
Solkraft store flate tak,67.95713305228566,40.774279831371395,0.5,6500,800,30,60,0,0,0.20 %
Kjernekraft,65.57609731054112,65.57609731054112,1600,50669,7800,40,966,0.7,8.607355225442646,0.10 %
Gassfyrt kombikraftverk,61.15505219684381,65.43590585062289,450,7868,7500,25,193,2.3,47.950670852358535,0.10 %
Bakkemontert solkraftverk,48.83606136440089,29.30163681864053,10,6000,1100,30,90,0,0,0.20 %
Vannkraft (>10MW),39.166208445785294,39.166208445785294,30,17461,3300,40,0,4,0,0.00 %
Vannkraft (<10MW),34.82606875157149,34.82606875157149,3,15306,3300,40,0,4,0,0.00 %
Landbasert vindkraft,29.938600496672052,22.15456436753732,474,10071,4008,25,0,10,0,0.10 %
