Navn;Stasjon;Tid(norsk normaltid);Homogenisert middeltemperatur (år)
Svalbard Lufthavn;SN99840;1899;-7,6
Svalbard Lufthavn;SN99840;1900;-8,1
Svalbard Lufthavn;SN99840;1901;-7,7
Svalbard Lufthavn;SN99840;1902;-8,5
Svalbard Lufthavn;SN99840;1903;-6,6
Svalbard Lufthavn;SN99840;1904;-6,9
Svalbard Lufthavn;SN99840;1905;-7,4
Svalbard Lufthavn;SN99840;1906;-6,4
Svalbard Lufthavn;SN99840;1907;-4,7
Svalbard Lufthavn;SN99840;1908;-7,5
Svalbard Lufthavn;SN99840;1909;-7,3
Svalbard Lufthavn;SN99840;1910;-8,5
Svalbard Lufthavn;SN99840;1911;-6,3
Svalbard Lufthavn;SN99840;1912;-10,6
Svalbard Lufthavn;SN99840;1913;-7,4
Svalbard Lufthavn;SN99840;1914;-8,8
Svalbard Lufthavn;SN99840;1915;-9,4
Svalbard Lufthavn;SN99840;1916;-9,8
Svalbard Lufthavn;SN99840;1917;-12,3
Svalbard Lufthavn;SN99840;1918;-7,5
Svalbard Lufthavn;SN99840;1919;-8
Svalbard Lufthavn;SN99840;1920;-5,6
Svalbard Lufthavn;SN99840;1921;-7,2
Svalbard Lufthavn;SN99840;1922;-5
Svalbard Lufthavn;SN99840;1923;-5,6
Svalbard Lufthavn;SN99840;1924;-5,4
Svalbard Lufthavn;SN99840;1925;-6
Svalbard Lufthavn;SN99840;1926;-7,1
Svalbard Lufthavn;SN99840;1927;-7,5
Svalbard Lufthavn;SN99840;1928;-7,1
Svalbard Lufthavn;SN99840;1929;-8,1
Svalbard Lufthavn;SN99840;1930;-5,2
Svalbard Lufthavn;SN99840;1931;-4,7
Svalbard Lufthavn;SN99840;1932;-6,3
Svalbard Lufthavn;SN99840;1933;-4,5
Svalbard Lufthavn;SN99840;1934;-4,2
Svalbard Lufthavn;SN99840;1935;-5,2
Svalbard Lufthavn;SN99840;1936;-5,7
Svalbard Lufthavn;SN99840;1937;-3,8
Svalbard Lufthavn;SN99840;1938;-3,5
Svalbard Lufthavn;SN99840;1939;-5,2
Svalbard Lufthavn;SN99840;1940;-5,6
Svalbard Lufthavn;SN99840;1941;-6,8
Svalbard Lufthavn;SN99840;1942;-6,9
Svalbard Lufthavn;SN99840;1943;-7,7
Svalbard Lufthavn;SN99840;1944;-5,4
Svalbard Lufthavn;SN99840;1945;-6,4
Svalbard Lufthavn;SN99840;1946;-6
Svalbard Lufthavn;SN99840;1947;-5,5
Svalbard Lufthavn;SN99840;1948;-7,7
Svalbard Lufthavn;SN99840;1949;-5,4
Svalbard Lufthavn;SN99840;1950;-3,6
Svalbard Lufthavn;SN99840;1951;-6,8
Svalbard Lufthavn;SN99840;1952;-6,5
Svalbard Lufthavn;SN99840;1953;-4,5
Svalbard Lufthavn;SN99840;1954;-2,9
Svalbard Lufthavn;SN99840;1955;-6,2
Svalbard Lufthavn;SN99840;1956;-4,3
Svalbard Lufthavn;SN99840;1957;-4,1
Svalbard Lufthavn;SN99840;1958;-5,5
Svalbard Lufthavn;SN99840;1959;-5,4
Svalbard Lufthavn;SN99840;1960;-5,5
Svalbard Lufthavn;SN99840;1961;-6,1
Svalbard Lufthavn;SN99840;1962;-7,9
Svalbard Lufthavn;SN99840;1963;-8,8
Svalbard Lufthavn;SN99840;1964;-6,3
Svalbard Lufthavn;SN99840;1965;-6,8
Svalbard Lufthavn;SN99840;1966;-8,3
Svalbard Lufthavn;SN99840;1967;-7,4
Svalbard Lufthavn;SN99840;1968;-10,1
Svalbard Lufthavn;SN99840;1969;-7,4
Svalbard Lufthavn;SN99840;1970;-7,3
Svalbard Lufthavn;SN99840;1971;-7,4
Svalbard Lufthavn;SN99840;1972;-3,7
Svalbard Lufthavn;SN99840;1973;-6,9
Svalbard Lufthavn;SN99840;1974;-3,9
Svalbard Lufthavn;SN99840;1975;-7
Svalbard Lufthavn;SN99840;1976;-4,6
Svalbard Lufthavn;SN99840;1977;-6,7
Svalbard Lufthavn;SN99840;1978;-7,6
Svalbard Lufthavn;SN99840;1979;-7,8
Svalbard Lufthavn;SN99840;1980;-7,2
Svalbard Lufthavn;SN99840;1981;-7,1
Svalbard Lufthavn;SN99840;1982;-6,5
Svalbard Lufthavn;SN99840;1983;-6,4
Svalbard Lufthavn;SN99840;1984;-3,1
Svalbard Lufthavn;SN99840;1985;-5,5
Svalbard Lufthavn;SN99840;1986;-6,7
Svalbard Lufthavn;SN99840;1987;-6,8
Svalbard Lufthavn;SN99840;1988;-8,9
Svalbard Lufthavn;SN99840;1989;-6,6
Svalbard Lufthavn;SN99840;1990;-3,9
Svalbard Lufthavn;SN99840;1991;-5,1
Svalbard Lufthavn;SN99840;1992;-5,1
Svalbard Lufthavn;SN99840;1993;-6,1
Svalbard Lufthavn;SN99840;1994;-6
Svalbard Lufthavn;SN99840;1995;-6
Svalbard Lufthavn;SN99840;1996;-4,9
Svalbard Lufthavn;SN99840;1997;-6
Svalbard Lufthavn;SN99840;1998;-6,2
Svalbard Lufthavn;SN99840;1999;-3,9
Svalbard Lufthavn;SN99840;2000;-4
Svalbard Lufthavn;SN99840;2001;-4,6
Svalbard Lufthavn;SN99840;2002;-4,3
Svalbard Lufthavn;SN99840;2003;-6,1
Svalbard Lufthavn;SN99840;2004;-4,3
Svalbard Lufthavn;SN99840;2005;-3
Svalbard Lufthavn;SN99840;2006;-1,7
Svalbard Lufthavn;SN99840;2007;-2,533
Svalbard Lufthavn;SN99840;2008;-3,992
Svalbard Lufthavn;SN99840;2009;-3,725
Svalbard Lufthavn;SN99840;2010;-4,133
Svalbard Lufthavn;SN99840;2011;-3,35
Svalbard Lufthavn;SN99840;2012;-1,975
Svalbard Lufthavn;SN99840;2013;-3,525
Svalbard Lufthavn;SN99840;2014;-2,083
Svalbard Lufthavn;SN99840;2015;-1,992
Svalbard Lufthavn;SN99840;2016;-0,058
Svalbard Lufthavn;SN99840;2017;-2,208
Svalbard Lufthavn;SN99840;2018;-1,792
Svalbard Lufthavn;SN99840;2019;-3,4
Svalbard Lufthavn;SN99840;2020;-3,442
Data er gyldig per 17.03.2021 (CC BY 4.0), Meteorologisk institutt (MET);;;
